OrganismType,ParentGenotype,ParentGamete,OffspringGenotype,OffspringPhenotype
Flora,Aa,A,AA,Purple Flowers
Flora,aabb,ab,aaBb,White Round
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Fauna,EETt,ET,EETT,"TailShort,Brown"
Flora,aabb,ab,aabb,White Wrinkled
Flora,Aa,a,aaB,White Round
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,EeTt,Et,EEtt,"TailLong,Brown"
Flora,aabb,ab,aab,White Wrinkled
Flora,Aa,A,AAb,Purple Wrinkled
Fauna,EeTt,Et,Eett,"TailLong,Brown"
Flora,AaBb,ab,aab,White Wrinkled
Flora,AA,A,AAB,Purple Round
Fauna,eett,et,Eett,"TailLong,Brown"
Flora,Aa,a,aa,White Flowers
Flora,AABB,aB,aaBB,White Round
Flora,aaBB,aB,aaBb,White Round
Fauna,eett,et,Eett,"TailLong,Brown"
Flora,aaBB,aB,aaBb,White Round
Fauna,EeTT,ET,EeTT,"TailShort,Brown"
Fauna,EETT,ET,EETt,"TailShort,Brown"
Flora,Aa,A,AAb,Purple Wrinkled
Flora,aabb,ab,aab,White Wrinkled
Flora,aaBB,aB,aaBb,White Round
Flora,AA,A,AaB,Purple Round
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Flora,AA,A,Aa,Purple Flowers
Flora,AaBb,ab,aabb,White Wrinkled
Flora,aa,a,Aab,Purple Wrinkled
Flora,AABB,aB,aaB,White Round
Flora,aaBB,aB,aaBb,White Round
Fauna,EeTT,ET,EETt,"TailShort,Brown"
Flora,AaBb,ab,aab,White Wrinkled
Flora,Aa,A,Aa,Purple Flowers
Fauna,EETt,ET,EETT,"TailShort,Brown"
Fauna,EeTt,ET,EeTT,"TailShort,Brown"
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Flora,AA,A,Aab,Purple Wrinkled
Flora,Aa,a,aab,White Wrinkled
Flora,aaBB,aB,aaBb,White Round
Fauna,eeTT,eT,eeTt,"TailShort,Black"
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Flora,aaBB,aB,aaB,White Round
Fauna,eett,et,EeTt,"TailShort,Brown"
Flora,aabb,ab,Aab,Purple Wrinkled
Flora,AaBb,aB,AaBB,Purple Round
Flora,AA,A,AAB,Purple Round
Flora,Aa,a,aab,White Wrinkled
Fauna,EeTt,eT,EeTt,"TailShort,Brown"
Flora,AaBb,ab,aab,White Wrinkled
Flora,AABB,Ab,Aab,Purple Wrinkled
Fauna,EETt,Et,EEtt,"TailLong,Brown"
Fauna,eett,et,eeTt,"TailShort,Black"
Fauna,EeTT,ET,EeTt,"TailShort,Brown"
Fauna,EeTt,et,EeTt,"TailShort,Brown"
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Fauna,eett,et,Eett,"TailLong,Brown"
Flora,aa,a,Aab,Purple Wrinkled
Fauna,eett,et,eett,"TailLong,Black"
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Fauna,EETt,ET,EETT,"TailShort,Brown"
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Flora,aaBB,aB,AaB,Purple Round
Flora,AABB,aB,aaBB,White Round
Flora,AA,A,AA,Purple Flowers
Flora,AABB,aB,aaBb,White Round
Flora,AA,A,Aa,Purple Flowers
Flora,aa,a,aab,White Wrinkled
Flora,aabb,ab,Aabb,Purple Wrinkled
Flora,AA,A,AAb,Purple Wrinkled
Flora,AA,A,AA,Purple Flowers
Fauna,EETt,Et,EETt,"TailShort,Brown"
Fauna,EEtt,Et,EeTt,"TailShort,Brown"
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,aabb,ab,aab,White Wrinkled
Flora,AaBb,Ab,Aab,Purple Wrinkled
Fauna,EeTT,ET,EETT,"TailShort,Brown"
Fauna,EeTt,Et,EeTt,"TailShort,Brown"
Flora,AaBb,AB,AaB,Purple Round
Fauna,EEtt,Et,EeTt,"TailShort,Brown"
Fauna,EETT,ET,EETt,"TailShort,Brown"
Fauna,EeTT,eT,EeTt,"TailShort,Brown"
Flora,Aa,A,AAb,Purple Wrinkled
Fauna,EeTT,eT,EeTT,"TailShort,Brown"
Flora,AaBb,ab,aab,White Wrinkled
Fauna,EeTT,eT,EeTt,"TailShort,Brown"
Fauna,EETt,ET,EETT,"TailShort,Brown"
Flora,AAbb,Ab,Aab,Purple Wrinkled
Flora,AaBb,aB,AaBb,Purple Round
Flora,Aa,a,aa,White Flowers
Fauna,EeTT,ET,EeTt,"TailShort,Brown"
Flora,aabb,ab,aaBb,White Round
Flora,aa,a,Aa,Purple Flowers
Fauna,EeTT,ET,EETt,"TailShort,Brown"
Fauna,eett,et,eeTt,"TailShort,Black"
Fauna,EeTT,eT,EeTT,"TailShort,Brown"
Flora,AA,A,AAb,Purple Wrinkled
Fauna,EETT,ET,EETt,"TailShort,Brown"
Flora,AABB,Ab,AAb,Purple Wrinkled
Fauna,eett,et,Eett,"TailLong,Brown"
Fauna,EeTT,eT,eeTt,"TailShort,Black"
Flora,Aa,a,aab,White Wrinkled
Flora,aa,a,Aa,Purple Flowers
Fauna,EETT,ET,EETt,"TailShort,Brown"
Flora,AA,A,AaB,Purple Round
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Fauna,EeTT,eT,EeTT,"TailShort,Brown"
Flora,AaBb,AB,AaBb,Purple Round
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Flora,aaBB,aB,AaB,Purple Round
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Flora,aa,a,aab,White Wrinkled
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Flora,AA,A,AAb,Purple Wrinkled
Flora,AA,A,AA,Purple Flowers
Fauna,EETt,Et,EEtt,"TailLong,Brown"
Fauna,EeTt,ET,EETT,"TailShort,Brown"
Flora,aabb,ab,Aab,Purple Wrinkled
Flora,aabb,ab,aabb,White Wrinkled
Flora,AAbb,Ab,AaBb,Purple Round
Fauna,EEtt,Et,EEtt,"TailLong,Brown"
Flora,aabb,ab,aabb,White Wrinkled
Flora,AA,A,AA,Purple Flowers
Flora,AABB,Ab,Aabb,Purple Wrinkled
Flora,aabb,ab,Aabb,Purple Wrinkled
Fauna,eett,et,Eett,"TailLong,Brown"
Fauna,EETt,ET,EETt,"TailShort,Brown"
Fauna,EeTT,eT,EeTt,"TailShort,Brown"
Fauna,EETt,ET,EeTT,"TailShort,Brown"
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Flora,aa,a,Aab,Purple Wrinkled
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Flora,AA,A,AA,Purple Flowers
Fauna,EeTt,et,Eett,"TailLong,Brown"
Flora,AABB,AB,AaBb,Purple Round
Flora,aaBB,aB,aaB,White Round
Fauna,EETT,ET,EETt,"TailShort,Brown"
Flora,AaBb,AB,AaBb,Purple Round
Fauna,eeTT,eT,eeTt,"TailShort,Black"
Flora,AaBb,ab,aabb,White Wrinkled
Flora,AAbb,Ab,AAb,Purple Wrinkled
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Fauna,EEtt,Et,EeTt,"TailShort,Brown"
Fauna,EeTT,ET,EETT,"TailShort,Brown"
Flora,AA,A,AAb,Purple Wrinkled
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,aaBB,aB,aaBb,White Round
Fauna,EETT,ET,EETt,"TailShort,Brown"
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Fauna,EETt,Et,EETt,"TailShort,Brown"
Flora,AA,A,AaB,Purple Round
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,AA,A,Aab,Purple Wrinkled
Flora,aa,a,Aa,Purple Flowers
Fauna,EeTt,ET,EETt,"TailShort,Brown"
Flora,aa,a,Aa,Purple Flowers
Fauna,EeTT,eT,EeTT,"TailShort,Brown"
Fauna,EETt,Et,Eett,"TailLong,Brown"
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Fauna,EETT,ET,EETt,"TailShort,Brown"
Fauna,EEtt,Et,EeTt,"TailShort,Brown"
Flora,AA,A,AAB,Purple Round
Flora,AaBb,AB,AABb,Purple Round
Fauna,eett,et,EeTt,"TailShort,Brown"
Fauna,EETT,ET,EETt,"TailShort,Brown"
Fauna,EEtt,Et,EEtt,"TailLong,Brown"
Flora,AAbb,Ab,Aab,Purple Wrinkled
Fauna,EETt,Et,EEtt,"TailLong,Brown"
Flora,aaBB,aB,aaB,White Round
Flora,aaBB,aB,AaBb,Purple Round
Fauna,EeTT,ET,EETt,"TailShort,Brown"
Flora,AaBb,AB,AAB,Purple Round
Flora,AABB,aB,AaB,Purple Round
Flora,AaBb,aB,AaBb,Purple Round
Flora,AA,A,AAb,Purple Wrinkled
Fauna,EeTt,et,eeTt,"TailShort,Black"
Fauna,eeTT,eT,eeTt,"TailShort,Black"
Flora,AAbb,Ab,AAbb,Purple Wrinkled
Fauna,eett,et,eeTt,"TailShort,Black"
Fauna,EEtt,Et,EeTt,"TailShort,Brown"
Flora,AA,A,AAb,Purple Wrinkled
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Flora,aa,a,Aab,Purple Wrinkled
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Flora,Aa,A,AaB,Purple Round
Fauna,EeTt,ET,EETt,"TailShort,Brown"
Flora,aabb,ab,Aab,Purple Wrinkled
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Flora,Aa,a,Aab,Purple Wrinkled
Fauna,eeTT,eT,eeTt,"TailShort,Black"
Flora,aaBB,aB,aaBB,White Round
Flora,Aa,A,AaB,Purple Round
Flora,aaBB,aB,AaBb,Purple Round
Flora,AaBb,Ab,AAb,Purple Wrinkled
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Flora,Aa,A,Aab,Purple Wrinkled
Fauna,EeTt,Et,Eett,"TailLong,Brown"
Flora,AAbb,Ab,AaBb,Purple Round
Flora,aa,a,Aa,Purple Flowers
Flora,aa,a,aa,White Flowers
Fauna,eett,et,eett,"TailLong,Black"
Fauna,eett,et,EeTt,"TailShort,Brown"
Flora,AABB,Ab,AaBb,Purple Round
Fauna,EETt,ET,EETT,"TailShort,Brown"
Flora,AA,A,AA,Purple Flowers
Fauna,eett,et,eeTt,"TailShort,Black"
Flora,AaBb,AB,AaBB,Purple Round
Flora,Aa,A,Aa,Purple Flowers
Flora,AAbb,Ab,Aab,Purple Wrinkled
Flora,AABB,AB,AaBb,Purple Round
Flora,AABB,AB,AABB,Purple Round
Flora,aa,a,Aab,Purple Wrinkled
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Flora,aa,a,aaB,White Round
Fauna,EeTT,eT,EeTT,"TailShort,Brown"
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,EeTT,ET,EETt,"TailShort,Brown"
Flora,AaBb,aB,aaB,White Round
Fauna,eett,et,Eett,"TailLong,Brown"
Flora,AAbb,Ab,AABb,Purple Round
Fauna,EeTt,Et,Eett,"TailLong,Brown"
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Flora,AAbb,Ab,Aabb,Purple Wrinkled
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,EeTT,ET,EeTT,"TailShort,Brown"
Flora,aabb,ab,Aab,Purple Wrinkled
Flora,aa,a,Aab,Purple Wrinkled
Flora,AaBb,ab,Aabb,Purple Wrinkled
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Flora,AaBb,Ab,AAb,Purple Wrinkled
Fauna,EETT,ET,EETt,"TailShort,Brown"
Flora,aabb,ab,aab,White Wrinkled
Flora,AA,A,AA,Purple Flowers
Flora,AaBb,AB,AABB,Purple Round
Flora,AABB,ab,Aabb,Purple Wrinkled
Flora,AA,A,AA,Purple Flowers
Flora,aaBB,aB,aaBb,White Round
Flora,aaBB,aB,aaBb,White Round
Flora,aaBB,aB,aaBB,White Round
Fauna,eett,et,eett,"TailLong,Black"
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,EEtt,Et,EeTt,"TailShort,Brown"
Flora,AaBb,Ab,Aab,Purple Wrinkled
Flora,aaBB,aB,aaB,White Round
Fauna,EETt,Et,Eett,"TailLong,Brown"
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Flora,AABB,ab,AaBb,Purple Round
Flora,AAbb,Ab,Aab,Purple Wrinkled
Flora,aa,a,AaB,Purple Round
Flora,Aa,a,Aab,Purple Wrinkled
Flora,AaBb,AB,AaBB,Purple Round
Flora,AaBb,AB,AaB,Purple Round
Fauna,EeTt,Et,EEtt,"TailLong,Brown"
Flora,AaBb,ab,AaBb,Purple Round
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Flora,Aa,A,Aab,Purple Wrinkled
Flora,AA,A,AA,Purple Flowers
Fauna,EeTT,ET,EETT,"TailShort,Brown"
Flora,aabb,ab,Aabb,Purple Wrinkled
Fauna,eett,et,EeTt,"TailShort,Brown"
Flora,AaBb,Ab,AaBb,Purple Round
Flora,aabb,ab,aaBb,White Round
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Fauna,EETt,ET,EeTT,"TailShort,Brown"
Fauna,EEtt,Et,EEtt,"TailLong,Brown"
Fauna,EeTT,ET,EETT,"TailShort,Brown"
Flora,AaBb,ab,AaBb,Purple Round
Fauna,eett,et,eeTt,"TailShort,Black"
Flora,AA,A,Aa,Purple Flowers
Flora,AABB,aB,aaBB,White Round
Flora,AA,A,Aa,Purple Flowers
Flora,AA,A,AaB,Purple Round
Flora,AABB,Ab,AAbb,Purple Wrinkled
Flora,AA,A,AaB,Purple Round
Fauna,EeTt,et,eeTt,"TailShort,Black"
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Flora,AABB,aB,AaB,Purple Round
Flora,Aa,A,AaB,Purple Round
Fauna,EETt,Et,Eett,"TailLong,Brown"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,Aa,A,Aab,Purple Wrinkled
Flora,AA,A,AAb,Purple Wrinkled
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Fauna,EETt,Et,EEtt,"TailLong,Brown"
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Flora,Aa,a,Aab,Purple Wrinkled
Flora,AABB,ab,Aab,Purple Wrinkled
Fauna,EeTt,eT,EeTt,"TailShort,Brown"
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Fauna,EeTT,eT,EeTT,"TailShort,Brown"
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Flora,aa,a,Aab,Purple Wrinkled
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Flora,AAbb,Ab,Aabb,Purple Wrinkled
Flora,AABB,aB,aaBB,White Round
Fauna,EETt,ET,EETt,"TailShort,Brown"
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Flora,aabb,ab,aaBb,White Round
Flora,Aa,a,aab,White Wrinkled
Fauna,EeTT,ET,EETt,"TailShort,Brown"
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,eett,et,eett,"TailLong,Black"
Flora,AaBb,AB,AaBB,Purple Round
Fauna,EeTT,ET,EeTt,"TailShort,Brown"
Flora,aabb,ab,aab,White Wrinkled
Flora,aaBB,aB,AaB,Purple Round
Flora,AaBb,Ab,AABb,Purple Round
Flora,AA,A,AA,Purple Flowers
Flora,AABB,AB,AAB,Purple Round
Fauna,EETt,ET,EETt,"TailShort,Brown"
Fauna,EeTT,eT,EeTT,"TailShort,Brown"
Fauna,EEtt,Et,EEtt,"TailLong,Brown"
Flora,aabb,ab,Aab,Purple Wrinkled
Fauna,EeTt,et,Eett,"TailLong,Brown"
Fauna,EETT,ET,EETt,"TailShort,Brown"
Fauna,eett,et,Eett,"TailLong,Brown"
Flora,AAbb,Ab,Aabb,Purple Wrinkled
Flora,Aa,a,aa,White Flowers
Flora,AAbb,Ab,AABb,Purple Round
Flora,aaBB,aB,AaBB,Purple Round
Fauna,EEtt,Et,EEtt,"TailLong,Brown"
Fauna,EETt,ET,EETt,"TailShort,Brown"
Fauna,EETt,ET,EeTT,"TailShort,Brown"
Flora,AaBb,aB,aaB,White Round
Fauna,eett,et,eeTt,"TailShort,Black"
Fauna,EeTt,ET,EETT,"TailShort,Brown"
Flora,aabb,ab,aabb,White Wrinkled
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Flora,AABB,Ab,Aab,Purple Wrinkled
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Flora,AABB,aB,aaB,White Round
Flora,AA,A,AA,Purple Flowers
Flora,aaBB,aB,aaBB,White Round
Flora,aa,a,AaB,Purple Round
Flora,AABB,aB,AaB,Purple Round
Fauna,EeTt,ET,EETt,"TailShort,Brown"
Fauna,EETt,Et,EeTt,"TailShort,Brown"
Flora,AaBb,ab,Aab,Purple Wrinkled
Fauna,eett,et,EeTt,"TailShort,Brown"
Fauna,EeTT,ET,EeTt,"TailShort,Brown"
Flora,Aa,a,Aa,Purple Flowers
Fauna,EeTT,ET,EeTt,"TailShort,Brown"
Flora,aa,a,aaB,White Round
Flora,AA,A,Aab,Purple Wrinkled
Flora,AAbb,Ab,AABb,Purple Round
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,AA,A,Aab,Purple Wrinkled
Flora,aabb,ab,aabb,White Wrinkled
Fauna,eett,et,eett,"TailLong,Black"
Flora,AAbb,Ab,Aabb,Purple Wrinkled
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Flora,AaBb,Ab,Aab,Purple Wrinkled
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Fauna,EETt,Et,EETt,"TailShort,Brown"
Fauna,eett,et,EeTt,"TailShort,Brown"
Flora,AAbb,Ab,Aab,Purple Wrinkled
Fauna,EETt,ET,EeTT,"TailShort,Brown"
Flora,aabb,ab,AaBb,Purple Round
Flora,aaBB,aB,AaBb,Purple Round
Fauna,EeTt,eT,EeTt,"TailShort,Brown"
Flora,AAbb,Ab,AAbb,Purple Wrinkled
Flora,AABB,AB,AaBb,Purple Round
Fauna,EeTT,ET,EeTt,"TailShort,Brown"
Fauna,EETt,Et,EEtt,"TailLong,Brown"
Flora,AaBb,AB,AaBB,Purple Round
Fauna,eett,et,EeTt,"TailShort,Brown"
Flora,AABB,Ab,AaBb,Purple Round
Fauna,EeTt,et,eeTt,"TailShort,Black"
Flora,aabb,ab,Aabb,Purple Wrinkled
Fauna,eett,et,EeTt,"TailShort,Brown"
Flora,aa,a,aab,White Wrinkled
Flora,aaBB,aB,AaBB,Purple Round
Fauna,EeTt,ET,EETT,"TailShort,Brown"
Flora,aa,a,aaB,White Round
Flora,AaBb,aB,AaB,Purple Round
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Flora,aaBB,aB,aaBb,White Round
Fauna,eett,et,eeTt,"TailShort,Black"
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Fauna,eett,et,Eett,"TailLong,Brown"
Flora,aaBB,aB,aaBb,White Round
Flora,AA,A,Aab,Purple Wrinkled
Flora,aabb,ab,aaBb,White Round
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Fauna,EEtt,Et,EEtt,"TailLong,Brown"
Flora,AA,A,AAB,Purple Round
Flora,aabb,ab,aabb,White Wrinkled
Flora,AA,A,AAb,Purple Wrinkled
Flora,aaBB,aB,aaB,White Round
Flora,aaBB,aB,aaB,White Round
Flora,aa,a,Aa,Purple Flowers
Fauna,EEtt,Et,EeTt,"TailShort,Brown"
Fauna,eett,et,Eett,"TailLong,Brown"
Flora,AA,A,Aa,Purple Flowers
Flora,AaBb,Ab,AAbb,Purple Wrinkled
Flora,AAbb,Ab,AAb,Purple Wrinkled
Flora,aa,a,aaB,White Round
Flora,aaBB,aB,aaB,White Round
Flora,AaBb,aB,aaBB,White Round
Fauna,EeTt,et,Eett,"TailLong,Brown"
Fauna,EeTt,eT,eeTT,"TailShort,Black"
Fauna,eett,et,eett,"TailLong,Black"
Flora,AABB,AB,AaBb,Purple Round
Flora,aa,a,AaB,Purple Round
Fauna,EeTt,eT,EeTt,"TailShort,Brown"
Flora,aaBB,aB,AaBb,Purple Round
Flora,AaBb,aB,AaBb,Purple Round
Flora,AaBb,ab,Aabb,Purple Wrinkled
Flora,AA,A,AA,Purple Flowers
Fauna,eett,et,eeTt,"TailShort,Black"
Fauna,EeTT,ET,EETt,"TailShort,Brown"
Fauna,EeTt,Et,EETt,"TailShort,Brown"
Fauna,eett,et,eett,"TailLong,Black"
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Flora,AABB,AB,AaBB,Purple Round
Flora,aa,a,aa,White Flowers
Flora,AA,A,Aa,Purple Flowers
Flora,aaBB,aB,AaBb,Purple Round
Fauna,EETT,ET,EeTt,"TailShort,Brown"
Fauna,EETT,ET,EETT,"TailShort,Brown"
Flora,AaBb,ab,aab,White Wrinkled
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,aa,a,aab,White Wrinkled
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,AAbb,Ab,AAbb,Purple Wrinkled
Fauna,EEtt,Et,EeTt,"TailShort,Brown"
Flora,Aa,a,aa,White Flowers
Flora,aabb,ab,aaBb,White Round
Flora,AA,A,Aab,Purple Wrinkled
Flora,AA,A,AaB,Purple Round
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Fauna,EETT,ET,EETT,"TailShort,Brown"
Fauna,EETt,Et,EeTt,"TailShort,Brown"
Flora,aa,a,aa,White Flowers
Fauna,EeTT,eT,eeTt,"TailShort,Black"
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Fauna,eett,et,eett,"TailLong,Black"
Flora,Aa,a,Aa,Purple Flowers
Flora,aaBB,aB,aaBb,White Round
Fauna,eett,et,Eett,"TailLong,Brown"
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Flora,AABB,AB,AAB,Purple Round
Flora,AABB,aB,AaB,Purple Round
Flora,AABB,ab,aaBb,White Round
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Fauna,EeTt,eT,eeTT,"TailShort,Black"
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Fauna,EETt,Et,EEtt,"TailLong,Brown"
Flora,aabb,ab,aaBb,White Round
Flora,aabb,ab,Aab,Purple Wrinkled
Fauna,eett,et,eeTt,"TailShort,Black"
Fauna,EeTT,ET,EETT,"TailShort,Brown"
Fauna,EeTt,Et,EeTt,"TailShort,Brown"
Fauna,EeTt,Et,Eett,"TailLong,Brown"
Fauna,EETT,ET,EETt,"TailShort,Brown"
Fauna,EeTT,ET,EeTT,"TailShort,Brown"
Flora,aa,a,Aa,Purple Flowers
Flora,AaBb,AB,AaBB,Purple Round
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,AAbb,Ab,AAbb,Purple Wrinkled
Flora,AA,A,AaB,Purple Round
Flora,AAbb,Ab,AAb,Purple Wrinkled
Flora,AAbb,Ab,AABb,Purple Round
Fauna,EETT,ET,EETt,"TailShort,Brown"
Flora,AAbb,Ab,Aabb,Purple Wrinkled
Flora,aabb,ab,Aab,Purple Wrinkled
Fauna,EeTt,Et,EeTt,"TailShort,Brown"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,AaBb,AB,AaBB,Purple Round
Fauna,EETt,Et,EETt,"TailShort,Brown"
Fauna,EeTt,Et,EEtt,"TailLong,Brown"
Fauna,EETT,ET,EETt,"TailShort,Brown"
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Fauna,EeTt,Et,EEtt,"TailLong,Brown"
Fauna,EeTt,eT,eeTt,"TailShort,Black"
Flora,AAbb,Ab,AAb,Purple Wrinkled
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Flora,aaBB,aB,AaBb,Purple Round
Fauna,eett,et,EeTt,"TailShort,Brown"
Fauna,EEtt,Et,EETt,"TailShort,Brown"
Flora,AABB,aB,AaBb,Purple Round
Flora,AaBb,AB,AaBB,Purple Round
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Fauna,EeTt,ET,EETT,"TailShort,Brown"
Fauna,EETt,ET,EETt,"TailShort,Brown"
Flora,aabb,ab,aaBb,White Round
Flora,aaBB,aB,aaBb,White Round
Fauna,eett,et,eett,"TailLong,Black"
Flora,AAbb,Ab,Aab,Purple Wrinkled
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Flora,aabb,ab,aaBb,White Round
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Flora,aaBB,aB,aaB,White Round
Flora,Aa,a,aaB,White Round
Flora,AaBb,Ab,AAb,Purple Wrinkled
Flora,aabb,ab,aabb,White Wrinkled
Fauna,EETT,ET,EETt,"TailShort,Brown"
Flora,aaBB,aB,AaBB,Purple Round
Flora,aaBB,aB,AaBb,Purple Round
Flora,aaBB,aB,aaB,White Round
Flora,AABB,ab,aab,White Wrinkled
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Fauna,EETt,Et,EeTt,"TailShort,Brown"
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Fauna,EETT,ET,EeTT,"TailShort,Brown"
Flora,aa,a,aab,White Wrinkled
Flora,AA,A,AAb,Purple Wrinkled
Flora,AAbb,Ab,AAbb,Purple Wrinkled
Flora,Aa,A,AAb,Purple Wrinkled
Fauna,EeTt,ET,EETt,"TailShort,Brown"
Flora,Aa,a,Aab,Purple Wrinkled
Flora,AAbb,Ab,Aabb,Purple Wrinkled
Flora,AAbb,Ab,AABb,Purple Round
Fauna,EETT,ET,EETt,"TailShort,Brown"
Fauna,eett,et,Eett,"TailLong,Brown"
Fauna,eeTT,eT,EeTT,"TailShort,Brown"
Fauna,EeTt,ET,EETT,"TailShort,Brown"
Fauna,EEtt,Et,EEtt,"TailLong,Brown"
Flora,aaBB,aB,AaBb,Purple Round
Flora,AABB,aB,AaB,Purple Round
Flora,AABB,AB,AABb,Purple Round
Fauna,EEtt,Et,EEtt,"TailLong,Brown"
Flora,AA,A,Aa,Purple Flowers
Fauna,EeTt,eT,eeTT,"TailShort,Black"
Fauna,EETt,Et,EETt,"TailShort,Brown"
Flora,aabb,ab,aaBb,White Round
Flora,AABB,ab,aabb,White Wrinkled
Flora,AABB,ab,AaBb,Purple Round
Fauna,EEtt,Et,Eett,"TailLong,Brown"
Flora,aabb,ab,AaBb,Purple Round
Flora,aaBB,aB,aaBb,White Round
Flora,aa,a,AaB,Purple Round
Fauna,EeTT,eT,eeTT,"TailShort,Black"
Flora,Aa,A,Aa,Purple Flowers
Fauna,EeTt,ET,EETT,"TailShort,Brown"
Fauna,eeTT,eT,EeTt,"TailShort,Brown"
Fauna,EETt,ET,EeTT,"TailShort,Brown"
Fauna,EETt,Et,EeTt,"TailShort,Brown"
Flora,AABB,AB,AaBb,Purple Round
Flora,AAbb,Ab,Aabb,Purple Wrinkled
Flora,AAbb,Ab,AAbb,Purple Wrinkled
Fauna,EETt,Et,Eett,"TailLong,Brown"
Fauna,eeTT,eT,eeTt,"TailShort,Black"
Fauna,eeTT,eT,eeTT,"TailShort,Black"
Flora,aaBB,aB,aaBb,White Round
